id,order_id,tenant_id,amount_cents,currency,payment_method,payment_status,gateway,gateway_transaction_id,gateway_customer_id,gateway_payment_method_id,payment_method_details,authorized_at,captured_at,failed_at,cancelled_at,error_code,error_message,metadata,ip_address,created_at,updated_at,gateway_type,gateway_authorization_id,gateway_fee_cents,net_amount_cents,gateway_response,authorization_expires_at,platform_fee_cents,platform_fee_percentage,platform_fee_fixed_cents,total_fees_cents,fee_waived,fee_waived_reason,is_deposit_payment,deposit_percentage,deposit_forfeited,forfeited_at,platform_forfeit_fee_cents,retailer_forfeit_amount_cents
pay-tid-qki0mjdb-nzii7kfouf,oid-tid-qki0mjdb-9tk0cmaq,tid-qki0mjdb,60300,USD,paypal,pending,,,,,,,,,,,,{},,2026-04-21 15:34:09.166,2026-04-21 15:34:09.165,paypal,,0,60300,{},,1809,,0,0,f,,t,10.00,f,,0,0
pay_1768077409063_c1x6q9y9a,ord_1768077402751_0o53ny0sa,tid-m8ijkrnk,5000,USD,credit_card,paid,,pi_3So8tw2Ng8vHl3911WQsP9BQ,,,,2026-01-10 20:36:49.063,2026-01-10 20:36:58.961,,,,,"{""testMode"": true, ""customerEmail"": ""payment-test@example.com""}",127.0.0.1,2026-01-10 20:36:49.063,2026-01-10 20:36:59.523501,stripe,pi_3So8tw2Ng8vHl3911WQsP9BQ,175,4750,"{""id"": ""pi_3So8tw2Ng8vHl3911WQsP9BQ"", ""amount"": 5000, ""object"": ""payment_intent"", ""review"": null, ""source"": null, ""status"": ""succeeded"", ""created"": 1768077408, ""currency"": ""usd"", ""customer"": null, ""livemode"": false, ""metadata"": {""orderId"": ""ord_1768077402751_0o53ny0sa"", ""tenantId"": ""tid-m8ijkrnk"", ""testMode"": ""true"", ""orderNumber"": ""ORD-2026-000017"", ""customerEmail"": ""payment-test@example.com""}, ""shipping"": null, ""processing"": null, ""application"": null, ""canceled_at"": null, ""description"": null, ""next_action"": null, ""on_behalf_of"": null, ""client_secret"": ""pi_3So8tw2Ng8vHl3911WQsP9BQ_secret_AFebsdY3SDSh8WFtRyBBGgeQS"", ""latest_charge"": ""ch_3So8tw2Ng8vHl39114n9DgJo"", ""receipt_email"": null, ""transfer_data"": null, ""amount_details"": {""tip"": {}}, ""capture_method"": ""manual"", ""payment_method"": ""pm_1So8tw2Ng8vHl391bqhMtY4M"", ""transfer_group"": null, ""amount_received"": 5000, ""customer_account"": null, ""amount_capturable"": 0, ""last_payment_error"": null, ""setup_future_usage"": null, ""cancellation_reason"": null, ""confirmation_method"": ""automatic"", ""payment_method_types"": [""card"", ""link""], ""statement_descriptor"": null, ""application_fee_amount"": null, ""payment_method_options"": {""card"": {""network"": null, ""installments"": null, ""mandate_options"": null, ""request_three_d_secure"": ""automatic""}, ""link"": {""persistent_token"": null}}, ""automatic_payment_methods"": {""enabled"": true, ""allow_redirects"": ""never""}, ""statement_descriptor_suffix"": null, ""excluded_payment_method_types"": null, ""payment_method_configuration_details"": {""id"": ""pmc_1RepcM2Ng8vHl391FBxLc5tB"", ""parent"": null}}",2026-01-17 20:36:49.063,75,1.50,0,250,f,,f,,f,,0,0
pay_1768077430826_4q7d2kkmn,ord_1768077424508_ummmdnauc,tid-m8ijkrnk,5000,USD,credit_card,paid,,pi_3So8uH2Ng8vHl3910pLuvcnq,,,,2026-01-10 20:37:10.826,2026-01-10 20:37:10.826,,,,,{},127.0.0.1,2026-01-10 20:37:10.826,2026-01-10 20:37:10.826,stripe,,175,4750,"{""id"": ""pi_3So8uH2Ng8vHl3910pLuvcnq"", ""amount"": 5000, ""object"": ""payment_intent"", ""review"": null, ""source"": null, ""status"": ""succeeded"", ""created"": 1768077429, ""currency"": ""usd"", ""customer"": null, ""livemode"": false, ""metadata"": {""orderId"": ""ord_1768077424508_ummmdnauc"", ""tenantId"": ""tid-m8ijkrnk"", ""orderNumber"": ""ORD-2026-000018""}, ""shipping"": null, ""processing"": null, ""application"": null, ""canceled_at"": null, ""description"": null, ""next_action"": null, ""on_behalf_of"": null, ""client_secret"": ""pi_3So8uH2Ng8vHl3910pLuvcnq_secret_qpYfm6RiGUFsNEvSq2l8jwLR2"", ""latest_charge"": ""ch_3So8uH2Ng8vHl3910rM3HEOD"", ""receipt_email"": null, ""transfer_data"": null, ""amount_details"": {""tip"": {}}, ""capture_method"": ""automatic"", ""payment_method"": ""pm_1So8uH2Ng8vHl3911RLZlP0x"", ""transfer_group"": null, ""amount_received"": 5000, ""customer_account"": null, ""amount_capturable"": 0, ""last_payment_error"": null, ""setup_future_usage"": null, ""cancellation_reason"": null, ""confirmation_method"": ""automatic"", ""payment_method_types"": [""card"", ""link""], ""statement_descriptor"": null, ""application_fee_amount"": null, ""payment_method_options"": {""card"": {""network"": null, ""installments"": null, ""mandate_options"": null, ""request_three_d_secure"": ""automatic""}, ""link"": {""persistent_token"": null}}, ""automatic_payment_methods"": {""enabled"": true, ""allow_redirects"": ""never""}, ""statement_descriptor_suffix"": null, ""excluded_payment_method_types"": null, ""payment_method_configuration_details"": {""id"": ""pmc_1RepcM2Ng8vHl391FBxLc5tB"", ""parent"": null}}",,75,1.50,0,250,f,,f,,f,,0,0
pay-tid-jcvzufq2-nw3fcmd7er,oid-tid-jcvzufq2-mglnp5pl,tid-jcvzufq2,660,USD,paypal,pending,,,,,,,,,,,,{},,2026-04-22 23:05:07.076,2026-04-22 23:05:07.069,paypal,,0,660,{},,20,,0,0,f,,t,10.00,f,,0,0
pay_1768077579107_8wj65o6uz,ord_1768077572861_4igcs2ydd,tid-m8ijkrnk,5000,USD,credit_card,paid,,pi_3So8wg2Ng8vHl3911PvtYMUy,,,,2026-01-10 20:39:39.107,2026-01-10 20:39:49.028,,,,,"{""testMode"": true, ""customerEmail"": ""payment-test@example.com""}",127.0.0.1,2026-01-10 20:39:39.107,2026-01-10 20:39:49.596685,stripe,pi_3So8wg2Ng8vHl3911PvtYMUy,175,4750,"{""id"": ""pi_3So8wg2Ng8vHl3911PvtYMUy"", ""amount"": 5000, ""object"": ""payment_intent"", ""review"": null, ""source"": null, ""status"": ""succeeded"", ""created"": 1768077578, ""currency"": ""usd"", ""customer"": null, ""livemode"": false, ""metadata"": {""orderId"": ""ord_1768077572861_4igcs2ydd"", ""tenantId"": ""tid-m8ijkrnk"", ""testMode"": ""true"", ""orderNumber"": ""ORD-2026-000019"", ""customerEmail"": ""payment-test@example.com""}, ""shipping"": null, ""processing"": null, ""application"": null, ""canceled_at"": null, ""description"": null, ""next_action"": null, ""on_behalf_of"": null, ""client_secret"": ""pi_3So8wg2Ng8vHl3911PvtYMUy_secret_4mRfBKSyTx9L5ZEXZnH4UHlfe"", ""latest_charge"": ""ch_3So8wg2Ng8vHl3911Fe4oHob"", ""receipt_email"": null, ""transfer_data"": null, ""amount_details"": {""tip"": {}}, ""capture_method"": ""manual"", ""payment_method"": ""pm_1So8wg2Ng8vHl391dP0jXyC9"", ""transfer_group"": null, ""amount_received"": 5000, ""customer_account"": null, ""amount_capturable"": 0, ""last_payment_error"": null, ""setup_future_usage"": null, ""cancellation_reason"": null, ""confirmation_method"": ""automatic"", ""payment_method_types"": [""card"", ""link""], ""statement_descriptor"": null, ""application_fee_amount"": null, ""payment_method_options"": {""card"": {""network"": null, ""installments"": null, ""mandate_options"": null, ""request_three_d_secure"": ""automatic""}, ""link"": {""persistent_token"": null}}, ""automatic_payment_methods"": {""enabled"": true, ""allow_redirects"": ""never""}, ""statement_descriptor_suffix"": null, ""excluded_payment_method_types"": null, ""payment_method_configuration_details"": {""id"": ""pmc_1RepcM2Ng8vHl391FBxLc5tB"", ""parent"": null}}",2026-01-17 20:39:39.107,75,1.50,0,250,f,,f,,f,,0,0
pay-tid-qki0mjdb-tcavohm769,oid-tid-qki0mjdb-bpx5ueqm,tid-qki0mjdb,350,USD,paypal,pending,,,,,,,,,,,,{},,2026-04-21 15:42:45.981,2026-04-21 15:42:45.978,paypal,,0,350,{},,11,,0,0,f,,t,10.00,f,,0,0
pay_1768077601025_g9skbwfpx,ord_1768077594674_75g49jz5o,tid-m8ijkrnk,5000,USD,credit_card,partially_refunded,,pi_3So8x22Ng8vHl3910n7rsSZ3,,,,2026-01-10 20:40:01.025,2026-01-10 20:40:01.025,,,,,{},127.0.0.1,2026-01-10 20:40:01.025,2026-01-10 20:40:08.012592,stripe,,175,4750,"{""id"": ""re_3So8x22Ng8vHl3910OriunNU"", ""amount"": 2500, ""charge"": ""ch_3So8x22Ng8vHl3910K0iVN53"", ""object"": ""refund"", ""reason"": ""requested_by_customer"", ""status"": ""succeeded"", ""created"": 1768077607, ""currency"": ""usd"", ""metadata"": {}, ""payment_intent"": ""pi_3So8x22Ng8vHl3910n7rsSZ3"", ""receipt_number"": null, ""transfer_reversal"": null, ""balance_transaction"": ""txn_3So8x22Ng8vHl3910RX9JUHT"", ""destination_details"": {""card"": {""type"": ""refund"", ""reference_type"": ""acquirer_reference_number"", ""reference_status"": ""pending""}, ""type"": ""card""}, ""source_transfer_reversal"": null}",,75,1.50,0,250,f,,f,,f,,0,0
pay-tid-jcvzufq2-poxutbzrcu,oid-tid-jcvzufq2-xarjdpqf,tid-jcvzufq2,660,USD,paypal,pending,,,,,,,,,,,,{},,2026-04-23 00:13:45.266,2026-04-23 00:13:45.253,paypal,,0,660,{},,20,,0,0,f,,t,10.00,f,,0,0
pay-tid-qki0mjdb-7utrpn4l8p,oid-tid-qki0mjdb-vjkzlprl,tid-qki0mjdb,350,USD,paypal,pending,,,,,,,,,,,,{},,2026-04-21 15:42:46.487,2026-04-21 15:42:46.482,paypal,,0,350,{},,11,,0,0,f,,t,10.00,f,,0,0
pay-tid-qki0mjdb-qdjubkzqal,oid-tid-qki0mjdb-s2ljhu8h,tid-qki0mjdb,350,USD,paypal,pending,,,,,,,,,,,,{},,2026-04-21 15:48:39.129,2026-04-21 15:48:39.122,paypal,,0,350,{},,11,,0,0,f,,t,10.00,f,,0,0
pay-tid-qki0mjdb-hrc9pmkwmr,oid-tid-qki0mjdb-fn5tt2dh,tid-qki0mjdb,350,USD,paypal,pending,,,,,,,,,,,,{},,2026-04-21 15:48:39.374,2026-04-21 15:48:39.369,paypal,,0,350,{},,11,,0,0,f,,t,10.00,f,,0,0
pay-tid-jcvzufq2-f7ku1evl49,oid-tid-jcvzufq2-v45w0p3x,tid-jcvzufq2,660,USD,paypal,pending,,,,,,,,,,,,{},,2026-04-23 00:13:45.272,2026-04-23 00:13:45.261,paypal,,0,660,{},,20,,0,0,f,,t,10.00,f,,0,0
pay-tid-qki0mjdb-6fiq5bot0o,oid-tid-qki0mjdb-fpxx2gzt,tid-qki0mjdb,350,USD,paypal,pending,,,,,,,,,,,,{},,2026-04-21 15:49:30.734,2026-04-21 15:49:30.73,paypal,,0,350,{},,11,,0,0,f,,t,10.00,f,,0,0
pay-tid-jcvzufq2-gup6cw4jxy,oid-tid-jcvzufq2-9kvvaxbz,tid-jcvzufq2,660,USD,paypal,pending,,,,,,,,,,,,{},,2026-04-23 00:22:53.119,2026-04-23 00:22:53.116,paypal,,0,660,{},,20,,0,0,f,,t,10.00,f,,0,0
pay-tid-qki0mjdb-3sso0vr66n,oid-tid-qki0mjdb-0b4l8981,tid-qki0mjdb,350,USD,paypal,pending,,,,,,,,,,,,{},,2026-04-21 15:50:45.007,2026-04-21 15:50:45,paypal,,0,350,{},,11,,0,0,f,,t,10.00,f,,0,0
pay-tid-jcvzufq2-5iyegrch0n,oid-tid-jcvzufq2-24c3qelq,tid-jcvzufq2,660,USD,paypal,pending,,,,,,,,,,,,{},,2026-04-23 00:22:53.129,2026-04-23 00:22:53.126,paypal,,0,660,{},,20,,0,0,f,,t,10.00,f,,0,0
pay-tid-qki0mjdb-6nx43qcozw,oid-tid-qki0mjdb-nnillya0,tid-qki0mjdb,350,USD,paypal,pending,,8SF64730AX371954M,,,,,,,,,,{},,2026-04-21 15:50:45.633,2026-04-21 15:51:01.316486,paypal,,0,350,{},,11,,0,0,f,,t,10.00,f,,0,0
pay-tid-qki0mjdb-tms7y1ydj8,oid-tid-qki0mjdb-ffs9jrfs,tid-qki0mjdb,350,USD,paypal,pending,,,,,,,,,,,,{},,2026-04-21 16:01:56.951,2026-04-21 16:01:56.924,paypal,,0,350,{},,11,,0,0,f,,t,10.00,f,,0,0
